Source Target Type Id Label Weight
3 37 Directed 2127  1.0
3 41 Directed 2128  1.0
3 105 Directed 2129  1.0
4 35 Directed 2130  2.0
4 62 Directed 2131  1.0
4 100 Directed 2132  4.0
4 110 Directed 2133  2.0
5 4 Directed 2134  5.0
5 23 Directed 2135  5.0
5 46 Directed 2136  5.0
5 49 Directed 2137  5.0
5 56 Directed 2138  3.0
6 17 Directed 2139  2.0
6 55 Directed 2140  2.0
6 110 Directed 2141  3.0
7 24 Directed 2142  2.0
7 34 Directed 2143  1.0
7 39 Directed 2144  2.0
7 40 Directed 2145  2.0
7 45 Directed 2146  2.0
7 48 Directed 2147  1.0
7 69 Directed 2148  1.0
7 92 Directed 2149  1.0
9 35 Directed 2150  3.0
9 38 Directed 2151  3.0
9 65 Directed 2152  2.0
9 104 Directed 2153  2.0
10 77 Directed 2154  3.0
11 21 Directed 2155  2.0
11 63 Directed 2156  3.0
11 82 Directed 2157  3.0
11 84 Directed 2158  3.0
11 87 Directed 2159  3.0
11 102 Directed 2160  1.0
11 111 Directed 2161  6.0
12 7 Directed 2162  1.0
12 19 Directed 2163  2.0
12 34 Directed 2164  1.0
12 39 Directed 2165  1.0
12 40 Directed 2166  1.0
12 45 Directed 2167  1.0
12 50 Directed 2168  1.0
12 70 Directed 2169  1.0
14 2 Directed 2170  3.0
14 17 Directed 2171  2.0
14 19 Directed 2172  2.0
14 25 Directed 2173  2.0
14 59 Directed 2174  2.0
14 68 Directed 2175  1.0
14 81 Directed 2176  3.0
14 103 Directed 2177  2.0
14 107 Directed 2178  2.0
15 7 Directed 2179  1.0
15 24 Directed 2180  1.0
15 34 Directed 2181  2.0
15 39 Directed 2182  1.0
15 40 Directed 2183  1.0
15 45 Directed 2184  2.0
15 48 Directed 2185  1.0
15 92 Directed 2186  1.0
16 57 Directed 2187  4.0
16 65 Directed 2188  2.0
16 95 Directed 2189  3.0
16 96 Directed 2190  2.0
18 8 Directed 2191  1.0
18 9 Directed 2192  1.0
18 13 Directed 2193  1.0
18 28 Directed 2194  1.0
18 84 Directed 2195  3.0
18 90 Directed 2196  4.0
18 97 Directed 2197  1.0
18 100 Directed 2198  1.0
19 12 Directed 2199  2.0
19 14 Directed 2200  1.0
19 16 Directed 2201  1.0
19 18 Directed 2202  1.0
19 101 Directed 2203  1.0
20 10 Directed 2204  1.0
20 68 Directed 2205  5.0
20 77 Directed 2206  1.0
20 88 Directed 2207  2.0
22 49 Directed 2208  1.0
22 97 Directed 2209  1.0
22 100 Directed 2210  1.0
23 4 Directed 2211  2.0
23 36 Directed 2212  5.0
24 7 Directed 2213  1.0
24 15 Directed 2214  2.0
24 34 Directed 2215  3.0
24 40 Directed 2216  4.0
24 45 Directed 2217  3.0
24 48 Directed 2218  4.0
24 92 Directed 2219  3.0
24 94 Directed 2220  2.0
25 26 Directed 2221  1.0
26 43 Directed 2222  2.0
27 31 Directed 2223  1.0
27 42 Directed 2224  1.0
27 50 Directed 2225  1.0
27 52 Directed 2226  1.0
27 94 Directed 2227  1.0
30 26 Directed 2228  1.0
30 32 Directed 2229  2.0
30 59 Directed 2230  1.0
30 69 Directed 2231  1.0
30 74 Directed 2232  1.0
30 79 Directed 2233  1.0
30 97 Directed 2234  1.0
31 23 Directed 2235  6.0
31 36 Directed 2236  6.0
32 26 Directed 2237  2.0
32 40 Directed 2238  3.0
32 59 Directed 2239  2.0
32 69 Directed 2240  1.0
32 106 Directed 2241  1.0
33 51 Directed 2242  1.0
33 63 Directed 2243  1.0
33 72 Directed 2244  4.0
33 84 Directed 2245  2.0
33 87 Directed 2246  2.0
33 111 Directed 2247  1.0
34 7 Directed 2248  1.0
34 15 Directed 2249  2.0
34 24 Directed 2250  3.0
34 39 Directed 2251  1.0
34 40 Directed 2252  1.0
34 45 Directed 2253  4.0
34 48 Directed 2254  2.0
34 92 Directed 2255  2.0
35 9 Directed 2256  2.0
35 38 Directed 2257  3.0
35 57 Directed 2258  1.0
35 58 Directed 2259  3.0
35 109 Directed 2260  4.0
36 23 Directed 2261  6.0
36 31 Directed 2262  2.0
36 80 Directed 2263  3.0
36 108 Directed 2264  2.0
37 3 Directed 2265  1.0
37 41 Directed 2266  2.0
37 105 Directed 2267  1.0
38 4 Directed 2268  1.0
38 9 Directed 2269  1.0
38 13 Directed 2270  1.0
38 49 Directed 2271  1.0
38 51 Directed 2272  1.0
38 75 Directed 2273  1.0
38 102 Directed 2274  1.0
38 104 Directed 2275  1.0
39 7 Directed 2276  2.0
39 15 Directed 2277  1.0
39 24 Directed 2278  2.0
39 34 Directed 2279  2.0
39 40 Directed 2280  1.0
39 45 Directed 2281  2.0
39 48 Directed 2282  2.0
39 92 Directed 2283  2.0
40 7 Directed 2284  1.0
40 24 Directed 2285  1.0
40 45 Directed 2286  1.0
40 48 Directed 2287  2.0
40 50 Directed 2288  1.0
40 69 Directed 2289  1.0
40 92 Directed 2290  4.0
41 3 Directed 2291  1.0
41 26 Directed 2292  1.0
41 37 Directed 2293  4.0
41 59 Directed 2294  1.0
41 69 Directed 2295  1.0
41 99 Directed 2296  3.0
41 105 Directed 2297  1.0
43 7 Directed 2298  2.0
43 26 Directed 2299  2.0
43 40 Directed 2300  2.0
43 45 Directed 2301  2.0
43 69 Directed 2302  2.0
43 74 Directed 2303  2.0
43 106 Directed 2304  2.0
45 7 Directed 2305  1.0
